,#Gc,logAge,[M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,TESS,J,H,Ks,Mact
0,1,6.97,0.17,0.16077,-1.828,3.502,4.427,9.9,0.034,0.0,19.239,18.986,17.332,16.813,16.563,0.161
1,1,7.03,0.29,0.72612,-0.847,3.648,4.684,9.4,0.032,0.0,16.288,15.731,14.754,14.122,14.024,0.726
2,1,7.43,0.41,0.53234,-1.327,3.596,4.823,9.4,0.032,0.0,17.487,17.04,15.771,15.104,14.97,0.532
3,1,7.47,-0.15,0.6395,-0.995,3.64,4.746,9.7,0.034,0.0,16.957,16.413,15.424,14.774,14.671,0.639
4,1,7.49,0.23,0.18001,-2.099,3.516,4.801,10.1,0.035,0.0,20.117,19.821,18.24,17.714,17.472,0.18
5,1,7.57,-0.17,0.20355,-2.196,3.55,5.091,5.7,0.01,0.0,15.96,15.539,14.178,13.625,13.398,0.204
6,1,7.57,0.01,0.77819,-0.676,3.673,4.645,10.6,0.037,0.0,17.059,16.478,15.614,15.049,14.967,0.778
7,1,7.57,0.29,0.34283,-1.806,3.56,4.964,6.4,0.014,0.0,15.685,15.265,13.892,13.327,13.121,0.343
8,1,7.59,0.11,0.16377,-2.004,3.508,4.636,11.2,0.037,0.0,20.98,20.709,19.087,18.564,18.318,0.164
9,1,7.59,0.17,0.15378,-1.94,3.498,4.503,9.7,0.034,0.0,19.319,19.079,17.402,16.885,16.632,0.154
10,1,7.61,0.13,0.17596,-2.094,3.516,4.788,11.2,0.037,0.0,21.205,20.909,19.33,18.802,18.561,0.176
11,1,7.63,0.23,0.41037,-1.626,3.572,4.91,8.6,0.028,0.0,17.436,17.005,15.65,15.072,14.892,0.41
12,1,7.65,0.15,0.3068,-1.9,3.555,4.99,10.9,0.037,0.0,20.421,20.019,18.635,18.074,17.855,0.307
13,1,7.65,0.33,0.14669,-1.972,3.493,4.494,9.4,0.032,0.0,19.099,18.876,17.169,16.653,16.397,0.147
14,1,7.69,-0.19,0.12368,-2.099,3.503,4.588,9.3,0.032,0.0,19.318,19.052,17.429,16.892,16.644,0.124
15,1,7.71,0.47,0.13816,-2.061,3.49,4.545,9.3,0.032,0.0,19.223,19.011,17.285,16.769,16.512,0.138
16,1,7.73,-0.03,0.55224,-1.249,3.61,4.814,8.9,0.03,0.0,16.794,16.278,15.163,14.504,14.379,0.552
17,1,7.73,0.25,0.29768,-1.931,3.551,4.992,9.1,0.031,0.0,18.698,18.302,16.906,16.35,16.122,0.298
18,1,7.75,0.33,0.07331,-2.625,3.456,4.696,9.2,0.031,0.0,20.532,20.449,18.505,17.992,17.714,0.073
19,1,7.77,-0.01,0.1055,-2.277,3.486,4.628,10.1,0.035,0.0,20.561,20.365,18.617,18.1,17.84,0.106
20,1,7.77,0.13,0.4745,-1.462,3.586,4.868,8.9,0.03,0.0,17.325,16.859,15.591,14.98,14.826,0.475
21,1,7.77,0.17,0.37689,-1.712,3.567,4.939,11.2,0.037,0.0,20.25,19.826,18.471,17.899,17.706,0.377
22,1,7.83,-0.03,0.53233,-1.301,3.605,4.831,9.8,0.034,0.0,17.822,17.313,16.178,15.524,15.395,0.532
23,1,7.89,-0.21,0.18001,-2.188,3.537,4.974,10.6,0.037,0.0,20.839,20.473,19.033,18.482,18.247,0.18
24,1,7.95,0.09,0.08896,-2.626,3.466,4.822,8.8,0.029,0.0,20.134,20.009,18.134,17.621,17.349,0.089
25,1,7.95,0.39,0.08435,-2.669,3.457,4.805,7.6,0.021,0.0,19.042,18.95,17.015,16.503,16.226,0.084
26,1,7.97,-0.03,0.20817,-2.202,3.543,5.078,10.6,0.037,0.0,20.875,20.497,19.071,18.522,18.291,0.208
27,1,8.03,-0.21,0.41037,-1.57,3.59,4.927,8.8,0.029,0.0,17.494,16.985,15.803,15.207,15.049,0.41
28,1,8.03,0.03,0.5802,-1.19,3.614,4.794,12.1,0.038,0.0,19.846,19.336,18.228,17.559,17.438,0.58
29,1,8.05,-0.29,0.3068,-1.834,3.578,5.019,11.0,0.037,0.0,20.356,19.862,18.638,18.07,17.891,0.307
30,1,8.05,-0.11,0.71038,-0.818,3.66,4.692,9.5,0.033,0.0,16.314,15.75,14.833,14.226,14.136,0.71
31,1,8.07,0.37,0.41386,-1.617,3.572,4.907,11.8,0.038,0.0,20.613,20.202,18.82,18.233,18.057,0.414
32,1,8.11,0.03,0.13816,-2.404,3.497,4.918,9.0,0.03,0.0,19.781,19.542,17.861,17.344,17.092,0.138
33,1,8.11,0.23,0.09965,-2.64,3.468,4.895,9.2,0.031,0.0,20.57,20.438,18.578,18.064,17.793,0.1
34,1,8.13,-0.19,0.29768,-1.876,3.571,5.018,8.8,0.029,0.0,18.259,17.786,16.514,15.951,15.761,0.298
35,1,8.13,0.11,0.96895,-0.239,3.732,4.538,9.9,0.034,0.0,15.268,14.672,14.023,13.638,13.583,0.969
36,1,8.13,0.13,0.16951,-2.307,3.513,4.971,9.6,0.033,0.0,20.137,19.85,18.253,17.728,17.485,0.17
37,1,8.15,-0.11,0.07331,-2.93,3.44,4.94,8.6,0.028,0.0,20.695,20.682,18.635,18.115,17.833,0.073
38,1,8.15,-0.03,0.23883,-2.087,3.551,5.051,9.0,0.03,0.0,18.987,18.587,17.199,16.645,16.417,0.239
39,1,8.15,0.05,0.57769,-1.199,3.613,4.795,9.7,0.034,0.0,17.467,16.958,15.842,15.174,15.052,0.578
40,1,8.17,-0.27,0.14716,-2.346,3.514,4.955,10.3,0.036,0.0,20.936,20.635,19.082,18.535,18.292,0.147
41,1,8.17,0.15,0.13921,-2.41,3.493,4.908,10.4,0.036,0.0,21.195,20.977,19.266,18.749,18.493,0.139
42,1,8.21,0.13,0.42331,-1.587,3.576,4.903,10.4,0.036,0.0,19.138,18.692,17.367,16.787,16.615,0.423
43,1,8.21,0.19,1.06209,-0.059,3.752,4.476,9.0,0.03,0.0,13.917,13.328,12.748,12.417,12.37,1.062
44,1,8.21,0.21,0.5092,-1.383,3.591,4.839,9.9,0.034,0.0,18.128,17.667,16.408,15.773,15.628,0.509
45,1,8.21,0.27,0.11197,-2.577,3.475,4.911,8.7,0.028,0.0,19.911,19.749,17.938,17.424,17.157,0.112
46,1,8.21,0.27,0.59994,-1.165,3.614,4.782,12.0,0.038,0.0,19.682,19.191,18.045,17.368,17.248,0.6
47,1,8.23,0.39,0.07259,-2.987,3.432,4.96,7.2,0.018,0.0,19.438,19.466,17.351,16.838,16.548,0.073
48,1,8.25,-0.03,0.06202,-3.164,3.405,4.962,7.8,0.022,0.0,20.481,20.668,18.34,17.814,17.511,0.062
49,1,8.25,0.01,0.16243,-2.322,3.513,4.968,9.6,0.033,0.0,20.176,19.888,18.292,17.767,17.524,0.162
50,1,8.25,0.27,0.15596,-2.346,3.5,4.925,9.1,0.031,0.0,19.736,19.487,17.824,17.306,17.056,0.156
51,1,8.27,-0.07,0.19313,-2.243,3.539,5.068,10.5,0.036,0.0,20.877,20.51,19.064,18.517,18.285,0.193
52,1,8.27,0.09,0.11735,-2.549,3.483,4.933,9.7,0.034,0.0,20.842,20.657,18.887,18.372,18.109,0.117
53,1,8.27,0.13,0.59602,-1.165,3.615,4.783,10.8,0.037,0.0,18.481,17.978,16.859,16.185,16.065,0.596
54,1,8.29,0.13,1.0176,-0.135,3.745,4.506,10.0,0.035,0.0,15.108,14.52,13.915,13.563,13.514,1.018
55,1,8.29,0.19,0.20839,-2.226,3.533,5.06,10.5,0.036,0.0,20.836,20.489,19.001,18.461,18.228,0.208
56,1,8.31,0.25,0.9262,-0.353,3.713,4.556,11.2,0.037,0.0,16.853,16.243,15.529,15.098,15.034,0.926
57,1,8.33,-0.19,0.21234,-2.159,3.554,5.085,11.1,0.037,0.0,21.269,20.854,19.5,18.943,18.72,0.212
58,1,8.33,-0.07,0.13402,-2.452,3.498,4.956,8.9,0.03,0.0,19.799,19.553,17.887,17.364,17.112,0.134
59,1,8.33,0.13,0.41161,-1.616,3.574,4.912,9.4,0.032,0.0,18.21,17.766,16.433,15.858,15.682,0.412
60,1,8.35,0.03,0.85924,-0.474,3.702,4.599,9.8,0.034,0.0,15.756,15.156,14.4,13.925,13.858,0.859
61,1,8.35,0.29,0.09442,-2.739,3.459,4.936,8.4,0.026,0.0,20.018,19.918,18.0,17.487,17.212,0.094
62,1,8.35,0.29,0.43924,-1.553,3.577,4.888,8.5,0.027,0.0,17.152,16.721,15.368,14.776,14.61,0.439
63,1,8.35,0.41,1.18661,0.19,3.78,4.389,6.9,0.017,0.0,11.195,10.619,10.137,9.885,9.847,1.187
64,1,8.37,-0.03,0.37599,-1.695,3.575,4.953,10.8,0.037,0.0,19.807,19.344,18.05,17.481,17.302,0.376
65,1,8.37,0.11,0.07227,-3.094,3.419,5.015,7.7,0.022,0.0,20.205,20.305,18.091,17.57,17.276,0.072
66,1,8.37,0.19,0.4164,-1.61,3.573,4.905,8.9,0.03,0.0,17.694,17.258,15.911,15.334,15.157,0.416
67,1,8.37,0.23,0.10535,-2.653,3.469,4.936,8.4,0.026,0.0,19.802,19.663,17.811,17.298,17.028,0.105
68,1,8.37,0.41,0.22545,-2.165,3.536,5.045,9.7,0.034,0.0,19.882,19.526,18.055,17.513,17.28,0.225
69,1,8.41,-0.03,0.99566,-0.155,3.746,4.522,14.4,0.038,0.0,19.558,18.984,18.379,18.023,17.975,0.996
70,1,8.41,0.15,0.54626,-1.286,3.601,4.813,10.6,0.037,0.0,18.586,18.103,16.915,16.25,16.12,0.546
71,1,8.41,0.33,0.5003,-1.405,3.589,4.845,11.1,0.037,0.0,19.381,18.941,17.644,17.008,16.862,0.5
72,1,8.43,0.01,0.43927,-1.536,3.584,4.897,11.0,0.037,0.0,19.61,19.138,17.878,17.284,17.122,0.439
73,1,8.45,0.13,0.39765,-1.651,3.572,4.921,10.4,0.036,0.0,19.297,18.859,17.521,16.947,16.765,0.398
74,1,8.45,0.33,0.47763,-1.459,3.585,4.861,10.8,0.037,0.0,19.218,18.785,17.462,16.842,16.688,0.478
75,1,8.47,0.19,0.83975,-0.558,3.684,4.604,7.6,0.021,0.0,13.765,13.158,12.341,11.822,11.745,0.84
76,1,8.49,0.07,0.25316,-2.049,3.548,5.029,10.4,0.036,0.0,20.293,19.905,18.498,17.945,17.715,0.253
77,1,8.51,-0.11,0.2991,-1.885,3.567,5.011,9.9,0.034,0.0,19.382,18.932,17.625,17.061,16.864,0.299
78,1,8.51,-0.01,0.19145,-2.262,3.534,5.064,9.9,0.034,0.0,20.324,19.972,18.494,17.953,17.72,0.191
79,1,8.51,0.09,0.44798,-1.522,3.582,4.887,9.5,0.033,0.0,18.074,17.612,16.329,15.733,15.571,0.448
80,1,8.51,0.11,0.12425,-2.561,3.483,4.973,9.6,0.033,0.0,20.774,20.586,18.821,18.306,18.043,0.124
81,1,8.51,0.21,0.18956,-2.288,3.523,5.042,10.8,0.037,0.0,21.289,20.969,19.429,18.898,18.661,0.19
82,1,8.51,0.25,0.33743,-1.82,3.559,4.967,11.0,0.037,0.0,20.321,19.915,18.535,17.969,17.759,0.337
83,1,8.51,0.31,0.44426,-1.54,3.578,4.883,9.9,0.034,0.0,18.52,18.094,16.739,16.143,15.978,0.444
84,1,8.53,-0.17,0.15925,-2.353,3.518,5.009,9.2,0.031,0.0,19.852,19.54,17.994,17.454,17.213,0.159
85,1,8.53,-0.17,0.97264,-0.16,3.752,4.539,11.3,0.037,0.0,16.469,15.909,15.321,14.976,14.93,0.973
86,1,8.53,0.03,0.4341,-1.55,3.582,4.9,9.7,0.034,0.0,18.346,17.876,16.604,16.014,15.85,0.434
87,1,8.53,0.03,0.49331,-1.407,3.594,4.859,10.2,0.035,0.0,18.488,18.0,16.795,16.166,16.022,0.493
88,1,8.55,-0.27,0.51832,-1.284,3.615,4.845,10.1,0.035,0.0,18.081,17.551,16.48,15.836,15.708,0.518
89,1,8.55,0.03,0.19172,-2.267,3.532,5.063,8.7,0.028,0.0,19.137,18.785,17.298,16.76,16.528,0.192
90,1,8.55,0.09,0.22349,-2.159,3.541,5.055,10.1,0.035,0.0,20.268,19.899,18.454,17.908,17.676,0.223
91,1,8.55,0.19,0.61025,-1.136,3.617,4.772,8.6,0.028,0.0,16.21,15.703,14.586,13.91,13.792,0.61
92,1,8.55,0.49,0.84494,-0.542,3.686,4.598,11.5,0.038,0.0,17.625,17.013,16.198,15.697,15.617,0.845
93,1,8.57,-0.19,0.23927,-2.058,3.56,5.06,9.4,0.032,0.0,19.315,18.878,17.554,16.995,16.784,0.239
94,1,8.57,0.29,0.54688,-1.289,3.6,4.81,10.3,0.036,0.0,18.292,17.828,16.603,15.93,15.8,0.547
95,1,8.57,0.37,0.30145,-1.919,3.552,4.988,9.9,0.034,0.0,19.468,19.074,17.678,17.119,16.894,0.301
96,1,8.59,-0.03,0.71543,-0.827,3.656,4.691,11.6,0.038,0.0,18.438,17.88,16.946,16.326,16.234,0.715
97,1,8.61,-0.09,0.06413,-3.529,3.354,5.138,6.0,0.012,0.0,19.593,20.186,17.449,16.817,16.488,0.064
98,1,8.61,-0.07,0.30073,-1.887,3.565,5.008,11.7,0.038,0.0,21.187,20.748,19.425,18.861,18.66,0.301
99,1,8.61,0.31,0.6479,-1.041,3.626,4.741,12.1,0.038,0.0,19.473,18.962,17.876,17.198,17.085,0.648
100,1,8.63,-0.13,1.05927,0.022,3.773,4.478,10.8,0.037,0.0,15.515,14.985,14.46,14.164,14.126,1.059
101,1,8.63,-0.03,0.15628,-2.395,3.508,5.006,7.3,0.019,0.0,18.056,17.772,16.161,15.638,15.393,0.156
102,1,8.63,0.13,0.40968,-1.619,3.574,4.912,8.9,0.03,0.0,17.719,17.273,15.941,15.366,15.19,0.41
103,1,8.63,0.15,0.12808,-2.578,3.482,4.998,9.9,0.034,0.0,21.114,20.931,19.159,18.644,18.381,0.128
104,1,8.63,0.21,0.41055,-1.624,3.572,4.908,10.3,0.036,0.0,19.13,18.702,17.347,16.769,16.589,0.411
105,1,8.65,-0.07,0.22781,-2.121,3.55,5.064,10.8,0.037,0.0,20.872,20.474,19.089,18.534,18.305,0.228
106,1,8.65,-0.01,0.35258,-1.763,3.57,4.975,10.5,0.036,0.0,19.678,19.228,17.916,17.348,17.16,0.353
107,1,8.65,0.55,0.33392,-1.83,3.558,4.969,9.7,0.034,0.0,19.044,18.646,17.252,16.682,16.472,0.334
108,1,8.67,-0.09,0.33301,-1.801,3.571,4.992,11.5,0.038,0.0,20.772,20.312,19.02,18.453,18.266,0.333
109,1,8.67,-0.07,0.75964,-0.699,3.675,4.664,14.2,0.038,0.0,20.719,20.139,19.281,18.72,18.639,0.76
110,1,8.67,-0.05,0.26733,-1.989,3.557,5.03,10.8,0.037,0.0,20.543,20.127,18.769,18.209,17.994,0.267
111,1,8.67,0.01,0.60924,-1.112,3.622,4.768,11.0,0.037,0.0,18.55,18.032,16.96,16.284,16.168,0.609
112,1,8.67,0.07,0.51628,-1.353,3.597,4.839,9.4,0.032,0.0,17.552,17.061,15.871,15.225,15.089,0.516
113,1,8.67,0.07,0.19103,-2.278,3.53,5.063,10.6,0.037,0.0,21.066,20.726,19.224,18.687,18.453,0.191
114,1,8.67,0.13,0.79657,-0.647,3.674,4.627,12.7,0.038,0.0,19.089,18.503,17.638,17.078,16.995,0.797
115,1,8.67,0.25,0.14496,-2.48,3.491,4.988,10.1,0.035,0.0,21.07,20.858,19.136,18.619,18.361,0.145
116,1,8.69,-0.13,0.32482,-1.815,3.572,4.999,10.5,0.036,0.0,19.807,19.34,18.06,17.494,17.308,0.325
117,1,8.69,-0.13,1.62673,0.946,3.899,4.246,11.0,0.037,0.0,13.406,13.198,13.018,12.972,12.953,1.627
118,1,8.69,0.01,0.09873,-2.828,3.463,5.058,9.1,0.031,0.0,20.941,20.83,18.933,18.416,18.145,0.099
119,1,8.71,-0.07,0.40978,-1.595,3.582,4.922,9.6,0.033,0.0,18.358,17.877,16.629,16.043,15.877,0.41
120,1,8.71,-0.05,0.40943,-1.6,3.581,4.921,12.0,0.038,0.0,20.769,20.295,19.035,18.451,18.283,0.409
121,1,8.71,0.13,0.38935,-1.672,3.57,4.928,10.7,0.037,0.0,19.65,19.215,17.874,17.301,17.116,0.389
122,1,8.71,0.21,0.33707,-1.821,3.559,4.966,9.1,0.031,0.0,18.422,18.011,16.636,16.071,15.861,0.337
123,1,8.73,-0.03,0.22499,-2.138,3.547,5.063,11.0,0.037,0.0,21.115,20.727,19.321,18.769,18.539,0.225
124,1,8.73,0.03,0.43437,-1.549,3.582,4.899,9.4,0.032,0.0,18.042,17.571,16.3,15.71,15.546,0.434
125,1,8.73,0.25,0.26477,-2.03,3.544,5.013,11.0,0.037,0.0,20.845,20.47,19.039,18.489,18.258,0.265
126,1,8.73,0.31,0.85643,-0.511,3.691,4.59,10.9,0.037,0.0,16.948,16.342,15.543,15.047,14.971,0.856
127,1,8.73,0.31,0.57431,-1.223,3.607,4.793,11.5,0.038,0.0,19.327,18.853,17.662,16.984,16.859,0.574
128,1,8.75,-0.15,0.54038,-1.251,3.614,4.823,11.8,0.038,0.0,19.696,19.176,18.087,17.433,17.307,0.54
129,1,8.75,-0.03,0.24741,-2.054,3.552,5.041,10.6,0.037,0.0,20.504,20.103,18.721,18.164,17.94,0.247
130,1,8.75,0.01,0.2084,-2.206,3.541,5.074,10.2,0.035,0.0,20.484,20.113,18.672,18.126,17.895,0.208
131,1,8.75,0.13,0.08616,-3.055,3.43,5.096,6.8,0.016,0.0,19.208,19.245,17.115,16.593,16.31,0.086
132,1,8.75,0.13,0.53577,-1.309,3.6,4.821,12.0,0.038,0.0,20.043,19.56,18.369,17.707,17.576,0.536
133,1,8.75,0.21,0.19823,-2.265,3.529,5.063,10.7,0.037,0.0,21.131,20.794,19.288,18.751,18.517,0.198
134,1,8.75,0.23,0.35699,-1.766,3.562,4.952,8.3,0.026,0.0,17.485,17.066,15.699,15.13,14.929,0.357
135,1,8.75,0.23,0.26869,-2.018,3.545,5.01,11.5,0.038,0.0,21.315,20.938,19.511,18.96,18.73,0.269
136,1,8.75,0.35,0.1806,-2.341,3.516,5.046,10.2,0.035,0.0,20.822,20.525,18.947,18.419,18.178,0.181
137,1,8.75,0.43,0.27496,-1.999,3.546,5.006,10.7,0.037,0.0,20.467,20.087,18.667,18.114,17.884,0.275
138,1,8.77,-0.25,0.42849,-1.517,3.596,4.915,10.1,0.035,0.0,18.662,18.145,16.995,16.387,16.237,0.428
139,1,8.77,-0.03,0.83568,-0.515,3.699,4.619,11.1,0.037,0.0,17.158,16.563,15.798,15.314,15.246,0.836
140,1,8.77,0.05,0.57773,-1.196,3.613,4.792,9.6,0.033,0.0,17.361,16.852,15.736,15.067,14.945,0.578
141,1,8.77,0.47,0.25112,-2.071,3.541,5.02,10.8,0.037,0.0,20.749,20.381,18.935,18.388,18.157,0.251
142,1,8.79,-0.13,0.17687,-2.329,3.528,5.075,9.9,0.034,0.0,20.494,20.151,18.659,18.117,17.882,0.177
143,1,8.79,-0.09,0.18834,-2.278,3.536,5.08,10.1,0.035,0.0,20.566,20.206,18.747,18.202,17.969,0.188
144,1,8.79,0.01,0.83021,-0.534,3.693,4.61,10.1,0.035,0.0,16.205,15.611,14.823,14.321,14.249,0.83
145,1,8.79,0.09,0.29458,-1.926,3.555,5.0,10.1,0.035,0.0,19.685,19.279,17.9,17.34,17.122,0.295
146,1,8.81,-0.35,0.2207,-2.1,3.565,5.088,10.1,0.035,0.0,20.121,19.66,18.382,17.823,17.619,0.221
147,1,8.81,-0.01,0.63164,-1.05,3.63,4.754,9.7,0.034,0.0,17.094,16.565,15.528,14.857,14.747,0.632
148,1,8.81,0.09,1.01837,-0.109,3.749,4.499,11.4,0.038,0.0,16.443,15.864,15.272,14.929,14.882,1.018
149,1,8.81,0.11,0.26163,-2.028,3.548,5.021,9.9,0.034,0.0,19.739,19.352,17.943,17.39,17.16,0.262
150,1,8.81,0.21,0.20457,-2.24,3.532,5.061,10.6,0.037,0.0,20.97,20.626,19.132,18.594,18.36,0.205
151,1,8.81,0.23,0.37406,-1.72,3.565,4.938,9.7,0.034,0.0,18.769,18.35,16.985,16.413,16.218,0.374
152,1,8.81,0.25,0.33328,-1.831,3.558,4.969,12.0,0.038,0.0,21.347,20.943,19.562,18.996,18.785,0.333
153,1,8.81,0.37,0.50176,-1.399,3.59,4.842,11.6,0.038,0.0,19.867,19.431,18.128,17.488,17.343,0.502
154,1,8.81,0.43,0.37471,-1.718,3.565,4.937,10.4,0.036,0.0,19.465,19.061,17.673,17.092,16.9,0.375
155,1,8.83,-0.33,0.09212,-3.016,3.455,5.183,8.6,0.028,0.0,20.909,20.814,18.899,18.346,18.105,0.092
156,1,8.83,-0.29,0.10814,-2.792,3.482,5.139,9.0,0.03,0.0,20.751,20.552,18.815,18.265,18.017,0.108
157,1,8.83,-0.13,0.21056,-2.175,3.55,5.082,9.8,0.034,0.0,20.008,19.606,18.228,17.673,17.443,0.211
158,1,8.83,-0.03,0.75949,-0.71,3.672,4.664,9.5,0.033,0.0,16.046,15.465,14.598,14.028,13.946,0.759
159,1,8.83,0.05,0.15299,-2.479,3.501,5.051,10.2,0.035,0.0,21.168,20.92,19.259,18.738,18.488,0.153
160,1,8.83,0.05,2.55775,1.838,3.691,2.719,11.9,0.038,0.0,12.076,11.479,10.679,10.191,10.11,2.558
161,1,8.83,0.07,0.39037,-1.662,3.573,4.928,9.8,0.034,0.0,18.724,18.277,16.953,16.382,16.201,0.39
162,1,8.83,0.13,0.0965,-2.965,3.447,5.123,8.6,0.028,0.0,20.782,20.735,18.732,18.21,17.936,0.096
163,1,8.83,0.13,0.25179,-2.06,3.545,5.024,9.4,0.032,0.0,19.32,18.94,17.515,16.965,16.735,0.252
164,1,8.85,-0.17,0.64099,-0.98,3.642,4.74,11.5,0.038,0.0,18.72,18.178,17.194,16.548,16.445,0.641
165,1,8.85,-0.13,1.3286,0.552,3.837,4.303,11.3,0.037,0.0,14.689,14.301,13.955,13.793,13.769,1.329
166,1,8.85,-0.05,0.21918,-2.156,3.547,5.069,10.6,0.037,0.0,20.76,20.371,18.967,18.415,18.185,0.219
167,1,8.85,-0.03,0.37863,-1.686,3.575,4.949,12.0,0.038,0.0,20.985,20.522,19.229,18.66,18.481,0.379
168,1,8.85,0.01,0.82871,-0.536,3.693,4.611,12.3,0.038,0.0,18.41,17.818,17.028,16.525,16.453,0.829
169,1,8.85,0.03,1.47777,0.721,3.846,4.215,15.0,0.038,0.0,17.967,17.587,17.271,17.132,17.108,1.478
170,1,8.85,0.05,0.25322,-2.045,3.549,5.03,9.2,0.031,0.0,19.082,18.689,17.289,16.735,16.506,0.253
171,1,8.85,0.23,1.70535,0.967,3.864,4.104,9.8,0.034,0.0,12.152,11.8,11.542,11.446,11.422,1.705
172,1,8.85,0.29,0.41386,-1.614,3.572,4.904,8.4,0.026,0.0,17.206,16.779,15.415,14.833,14.656,0.414
173,1,8.85,0.29,2.58443,1.936,3.676,2.565,12.5,0.038,0.0,12.431,11.83,10.969,10.46,10.363,2.584
174,1,8.87,-0.45,0.83974,-0.347,3.739,4.61,9.6,0.033,0.0,15.238,14.677,14.045,13.664,13.613,0.84
175,1,8.87,-0.25,0.12924,-2.648,3.496,5.126,9.6,0.033,0.0,20.991,20.748,19.088,18.542,18.295,0.129
176,1,8.87,-0.05,0.26758,-1.988,3.557,5.029,11.0,0.037,0.0,20.74,20.323,18.965,18.405,18.191,0.268
177,1,8.87,-0.05,0.95203,-0.215,3.74,4.536,11.7,0.038,0.0,17.008,16.431,15.804,15.43,15.379,0.952
178,1,8.87,-0.01,2.23544,1.591,3.868,3.615,14.6,0.038,0.0,15.393,15.073,14.823,14.737,14.711,2.235
179,1,8.87,0.01,0.2278,-2.132,3.546,5.057,9.2,0.031,0.0,19.301,18.916,17.499,16.949,16.719,0.228
180,1,8.87,0.01,0.29746,-1.907,3.56,5.002,10.9,0.037,0.0,20.437,20.018,18.661,18.099,17.889,0.297
181,1,8.87,0.19,0.2732,-2.003,3.546,5.007,10.1,0.035,0.0,19.877,19.496,18.076,17.524,17.294,0.273
182,1,8.87,0.31,0.7927,-0.664,3.669,4.623,10.2,0.035,0.0,16.631,16.043,15.158,14.592,14.505,0.793
183,1,8.87,0.33,2.45273,1.765,3.682,2.738,11.8,0.038,0.0,12.158,11.552,10.716,10.226,10.133,2.453
184,1,8.89,0.03,0.29639,-1.912,3.558,5.002,10.4,0.036,0.0,19.951,19.536,18.172,17.61,17.399,0.296
185,1,8.89,0.05,0.18449,-2.329,3.525,5.079,10.1,0.035,0.0,20.691,20.363,18.837,18.304,18.069,0.184
186,1,8.89,0.19,0.56116,-1.253,3.604,4.801,10.7,0.037,0.0,18.602,18.12,16.936,16.266,16.138,0.561
187,1,8.89,0.33,0.22578,-2.163,3.536,5.044,10.8,0.037,0.0,20.977,20.622,19.15,18.608,18.375,0.226
188,1,8.91,-0.27,0.16715,-2.395,3.526,5.107,10.3,0.036,0.0,21.057,20.714,19.231,18.68,18.444,0.167
189,1,8.91,-0.11,0.25797,-2.006,3.559,5.039,10.3,0.036,0.0,20.085,19.659,18.318,17.758,17.546,0.258
190,1,8.91,-0.05,1.02271,-0.06,3.759,4.488,9.9,0.034,0.0,14.82,14.261,13.695,13.368,13.325,1.023
191,1,8.91,0.01,0.31009,-1.873,3.562,4.995,10.8,0.037,0.0,20.252,19.827,18.478,17.915,17.71,0.31
192,1,8.91,0.03,0.33001,-1.823,3.564,4.983,10.4,0.036,0.0,19.728,19.296,17.956,17.39,17.191,0.33
193,1,8.91,0.03,0.49199,-1.409,3.594,4.859,11.0,0.037,0.0,19.292,18.805,17.599,16.97,16.826,0.492
194,1,8.91,0.07,0.3067,-1.889,3.558,4.993,11.4,0.038,0.0,20.891,20.479,19.112,18.549,18.337,0.307
195,1,8.91,0.07,0.26307,-2.018,3.55,5.022,11.5,0.038,0.0,21.314,20.922,19.524,18.969,18.74,0.263
196,1,8.91,0.09,0.50137,-1.391,3.593,4.849,11.0,0.037,0.0,19.247,18.769,17.548,16.915,16.772,0.501
197,1,8.91,0.13,0.11897,-2.792,3.47,5.133,8.9,0.03,0.0,20.65,20.507,18.662,18.141,17.876,0.119
198,1,8.91,0.21,1.0312,-0.101,3.746,4.481,8.7,0.028,0.0,13.723,13.126,12.527,12.182,12.133,1.031
199,1,8.91,0.27,0.50692,-1.385,3.591,4.838,9.9,0.034,0.0,18.133,17.681,16.407,15.769,15.624,0.507
200,1,8.93,-0.27,1.53949,0.926,3.895,4.227,11.1,0.037,0.0,13.556,13.344,13.152,13.097,13.078,1.539
201,1,8.93,-0.23,0.44195,-1.487,3.597,4.904,10.3,0.036,0.0,18.787,18.27,17.124,16.509,16.363,0.442
202,1,8.93,0.03,0.49103,-1.411,3.593,4.86,8.3,0.026,0.0,16.597,16.104,14.9,14.273,14.13,0.491
203,1,8.93,0.03,0.37223,-1.708,3.571,4.948,9.2,0.031,0.0,18.239,17.787,16.471,15.902,15.718,0.372
204,1,8.93,0.09,0.44504,-1.527,3.582,4.887,9.5,0.033,0.0,18.087,17.625,16.339,15.746,15.582,0.445
205,1,8.93,0.13,0.51831,-1.352,3.596,4.834,6.3,0.013,0.0,14.45,13.957,12.75,12.107,11.97,0.518
206,1,8.93,0.13,0.61883,-1.103,3.621,4.761,9.9,0.034,0.0,17.427,16.915,15.823,15.146,15.03,0.619
207,1,8.93,0.13,0.35854,-1.755,3.565,4.955,10.5,0.036,0.0,19.658,19.233,17.881,17.311,17.115,0.359
208,1,8.93,0.15,0.20614,-2.229,3.534,5.064,9.2,0.031,0.0,19.542,19.188,17.709,17.17,16.937,0.206
209,1,8.93,0.19,0.43503,-1.561,3.577,4.89,10.4,0.036,0.0,19.073,18.636,17.297,16.713,16.543,0.435
