0,0
0.209,1.243
0.417,2.757
0.626,3.249
0.835,3.984
1.044,4.581
1.252,5.025
1.461,5.455
1.67,5.845
1.878,6.192
2.087,6.445
2.296,6.665
2.505,6.729
2.713,6.824
2.922,6.909
3.131,7.01
3.339,7.085
3.548,7.159
3.757,7.168
3.966,7.265
4.174,7.394
4.383,7.524
4.592,7.549
4.8,7.555
5.009,7.642
5.218,7.616
5.427,7.718
5.635,7.694
5.844,7.825
6.053,8.017
6.261,8.11
6.47,8.21
6.679,8.315
6.887,8.363
7.096,8.428
7.305,8.406
7.514,8.444
7.722,8.473
7.931,8.588
8.14,8.713
8.348,8.906
8.557,9.033
8.766,9.124
8.975,9.303
9.183,9.235
9.392,9.414
9.601,9.352
9.809,9.464
