0,0
0.167,2.612
0.305,4.614
0.449,5.61
0.595,6.077
0.743,6.633
0.889,7.046
1.037,7.454
1.184,7.712
1.331,7.93
1.479,8.117
1.627,8.202
1.774,8.259
1.922,8.297
2.069,8.316
2.217,8.331
2.365,8.358
2.512,8.35
2.66,8.353
2.808,8.361
2.955,8.373
3.103,8.382
3.251,8.399
3.398,8.375
3.546,8.397
3.694,8.382
3.841,8.394
3.989,8.411
4.137,8.413
4.284,8.383
4.432,8.39
4.58,8.387
4.728,8.389
4.875,8.404
5.023,8.394
5.171,8.392
5.318,8.405
5.466,8.395
5.614,8.404
5.762,8.385
5.909,8.381
6.057,8.39
6.204,8.395
6.352,8.396
6.5,8.385
6.648,8.39
6.795,8.39
6.943,8.366
7.091,8.375
7.239,8.374
7.386,8.363
7.534,8.344
7.682,8.364
7.829,8.367
7.977,8.354
8.125,8.345
8.272,8.344
8.42,8.342
8.568,8.331
8.715,8.341
8.863,8.327
9.011,8.33
9.159,8.321
9.306,8.315
9.454,8.3
9.602,8.347
9.75,8.298
